2013 Congressional Districts,Zip Code,Zip Code Name,Zip Code Type,Zip Code Area Name,Percent of Population,Single Location Zip Code
01,95428,Covelo,Non Unique,Covelo,0.0,
01,95543,Gasquet,Non Unique,Gasquet,0.0,
01,95546,Hoopa,Non Unique,Hoopa,0.0,
01,95548,Klamath,Non Unique,Klamath,0.0,
01,95552,Mad River,Non Unique,Mad River,0.0,
01,95556,Orleans,Po Box,Orleans,0.0,
01,95568,Somes Bar,Non Unique,Somes Bar,100.0,
01,95602,Auburn,Non Unique,Auburn,100.0,
01,95603,Auburn,Non Unique,Auburn,47.9,
01,95631,Foresthill,Non Unique,Foresthill,0.0,
01,95648,Lincoln,Non Unique,Lincoln,5.0,
01,95658,Newcastle,Non Unique,Newcastle,3.9,
01,95664,Pilot Hill,Non Unique,Pilot Hill,0.0,
01,95681,Sheridan,Non Unique,Sheridan,3.1,
01,95692,Wheatland,Non Unique,Wheatland,0.0,
01,95701,Alta,Po Box,Alta,100.0,
01,95703,Applegate,Non Unique,Applegate,100.0,
01,95712,Chicago Park,Po Box,Chicago Park,,*
01,95713,Colfax,Non Unique,Colfax,97.8,
01,95714,Dutch Flat,Po Box,Dutch Flat,100.0,
01,95715,Emigrant Gap,Po Box,Emigrant Gap,,
01,95717,Gold Run,Po Box,Gold Run,100.0,
01,95722,Meadow Vista,Non Unique,Meadow Vista,100.0,
01,95728,Soda Springs,Po Box,Soda Springs,100.0,
01,95736,Weimar,Po Box,Weimar,,*
01,95901,Marysville,Non Unique,Marysville,1.7,
01,95910,Alleghany,Non Unique,Alleghany,100.0,
01,95914,Bangor,Non Unique,Bangor,73.1,
01,95915,Belden,Po Box,Belden,100.0,
01,95916,Berry Creek,Non Unique,Berry Creek,100.0,
01,95917,Biggs,Non Unique,Biggs,100.0,
01,95918,Browns Valley,Non Unique,Browns Valley,0.0,
01,95920,Butte City,Non Unique,Butte City,100.0,
01,95922,Camptonville,Non Unique,Camptonville,13.1,
01,95923,Canyon Dam,Non Unique,Canyon Dam,100.0,
01,95924,Cedar Ridge,Po Box,Cedar Ridge,,*
01,95925,Challenge,Non Unique,Challenge,0.0,
01,95926,Chico,Non Unique,Chico,100.0,
